[2022-03-22 16:21:28,813] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 16:24:12,916] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 16:24:38,533] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 16:24:45,441] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 16:25:47,801] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 16:26:08,694] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 16:34:57,674] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 16:34:58,028] - test_FctLedger.py[31] - INFO;  code ==>> 期望结果：10000， 实际结果：10000
[2022-03-22 16:34:58,028] - test_FctLedger.py[32] - INFO;  *************** 结束执行用例 ***************
[2022-03-22 16:52:23,862] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 16:52:24,208] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 16:52:24,462] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 16:53:08,612] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 16:53:08,882] - test_FctLedger.py[31] - INFO;  code ==>> 期望结果：10000， 实际结果：10000
[2022-03-22 16:53:08,882] - test_FctLedger.py[32] - INFO;  *************** 结束执行用例 ***************
[2022-03-22 16:53:08,897] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 16:53:09,130] - test_FctLedger.py[31] - INFO;  code ==>> 期望结果：10000， 实际结果：10000
[2022-03-22 16:53:09,130] - test_FctLedger.py[32] - INFO;  *************** 结束执行用例 ***************
[2022-03-22 16:53:09,146] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 16:53:09,353] - test_FctLedger.py[31] - INFO;  code ==>> 期望结果：10000， 实际结果：10000
[2022-03-22 16:53:09,353] - test_FctLedger.py[32] - INFO;  *************** 结束执行用例 ***************
[2022-03-22 16:55:41,729] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 16:55:41,992] - test_FctLedger.py[31] - INFO;  code ==>> 期望结果：10000， 实际结果：10000
[2022-03-22 16:55:41,992] - test_FctLedger.py[32] - INFO;  *************** 结束执行用例 ***************
[2022-03-22 16:55:42,008] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 16:55:42,277] - test_FctLedger.py[31] - INFO;  code ==>> 期望结果：10000， 实际结果：10000
[2022-03-22 16:55:42,277] - test_FctLedger.py[32] - INFO;  *************** 结束执行用例 ***************
[2022-03-22 16:55:42,293] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 16:55:42,532] - test_FctLedger.py[31] - INFO;  code ==>> 期望结果：10000， 实际结果：10000
[2022-03-22 16:55:42,532] - test_FctLedger.py[32] - INFO;  *************** 结束执行用例 ***************
[2022-03-22 17:39:10,933] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 17:39:11,302] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 17:39:11,657] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 18:47:20,529] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 18:47:20,931] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 18:47:21,231] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 18:48:32,337] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 18:48:32,729] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 18:48:33,012] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 18:51:56,288] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 18:52:07,028] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 18:52:28,173] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 18:57:16,307] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 18:58:16,634] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 18:59:00,361] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 19:04:44,552] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 19:04:45,018] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 19:04:45,351] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 19:07:57,159] - test_FctLedger.py[24] - INFO;  *************** 开始执行用例 ***************
[2022-03-22 19:07:57,561] - test_FctLedger.py[33] - INFO;  code ==>> 期望结果：10000， 实际结果：10000
[2022-03-22 19:07:57,561] - test_FctLedger.py[34] - INFO;  *************** 结束执行用例 ***************
