[2022-03-23 13:33:29,916] - test_FctLedger.py[12] - INFO;  步骤1 ==>> 在企业端登录核心企业账号
[2022-03-23 13:33:29,916] - test_FctLedger.py[17] - INFO;  步骤2 ==>>  进入签发功能-统计查询-供应商融资查询
[2022-03-23 13:33:29,916] - test_FctLedger.py[22] - INFO;  步骤3 ==>>  输入供应商名称-点击查询
[2022-03-23 13:33:29,916] - test_FctLedger.py[41] - INFO;  *************** 开始执行用例 ***************
[2022-03-23 13:33:30,249] - test_FctLedger.py[12] - INFO;  步骤1 ==>> 在企业端登录核心企业账号
[2022-03-23 13:33:30,249] - test_FctLedger.py[17] - INFO;  步骤2 ==>>  进入签发功能-统计查询-供应商融资查询
[2022-03-23 13:33:30,249] - test_FctLedger.py[22] - INFO;  步骤3 ==>>  输入供应商名称-点击查询
[2022-03-23 13:33:30,249] - test_FctLedger.py[41] - INFO;  *************** 开始执行用例 ***************
[2022-03-23 13:33:30,450] - test_FctLedger.py[12] - INFO;  步骤1 ==>> 在企业端登录核心企业账号
[2022-03-23 13:33:30,450] - test_FctLedger.py[17] - INFO;  步骤2 ==>>  进入签发功能-统计查询-供应商融资查询
[2022-03-23 13:33:30,450] - test_FctLedger.py[22] - INFO;  步骤3 ==>>  输入供应商名称-点击查询
[2022-03-23 13:33:30,450] - test_FctLedger.py[41] - INFO;  *************** 开始执行用例 ***************
[2022-03-23 13:39:20,816] - test_FctLedger.py[12] - INFO;  步骤1 ==>> 在企业端登录核心企业账号
[2022-03-23 13:39:20,816] - test_FctLedger.py[17] - INFO;  步骤2 ==>>  进入签发功能-统计查询-供应商融资查询
[2022-03-23 13:39:20,816] - test_FctLedger.py[22] - INFO;  步骤3 ==>>  输入供应商名称-点击查询
[2022-03-23 13:39:20,816] - test_FctLedger.py[42] - INFO;  *************** 开始执行用例 ***************
[2022-03-23 13:39:21,149] - test_FctLedger.py[12] - INFO;  步骤1 ==>> 在企业端登录核心企业账号
